poi_id_1,poi_id_2,poi_name_1,poi_name_2,distance
39,286,Banoon Day Care,Toilet,358.44443764626743
39,328,Banoon Day Care,toilet Male & Female,310.8128068296312
39,329,Banoon Day Care,toilet Male & Female,494.02890212621475
39,28,Banoon Day Care,Male Toilet-entrance-building-5.08,234.46067320157135
39,9,Banoon Day Care,Female WC-1st-5.07,274.30692598050916
39,496,Banoon Day Care,KAFD Grand Mosque Female WC,209.26710954670924
39,4,Banoon Day Care,5.07-GF Male WC,382.64335910461244
39,495,Banoon Day Care,KAFD Grand Mosque Male WC,
39,596,Banoon Day Care,Male Toilet,302.52678911457986
39,599,Banoon Day Care,Female Toilet,431.1663046881667
39,600,Banoon Day Care,Male Toilet,439.1365195125175
39,29,Banoon Day Care,Female Toilet-entrance-Building-5.08,234.46067320157135
20,69,Lasuhran Spa,Kids Home,49.899237875519056
20,46,Lasuhran Spa,Banoon Day Care,
20,39,Lasuhran Spa,Banoon Day Care,240.41333719568638
20,119,Lasuhran Spa,KAFD Metro Station,697.2397096222097
20,118,Lasuhran Spa,Aramco,646.3710734725342
20,126,Lasuhran Spa,king Abdullah financial center,637.8586224990515
20,131,Lasuhran Spa,Muqarnas Tower Parcel 1.09,393.57440280792684
20,140,Lasuhran Spa,The Steps,
20,281,Lasuhran Spa,PIF,336.9887739843419
20,604,Lasuhran Spa,TADAWUL TOWER,
20,168,Lasuhran Spa,Roland Berger,80.83294566892538
20,169,Lasuhran Spa,Saudi Venture Capital Company,80.83294566892538
20,170,Lasuhran Spa,Real Estate Registry,80.83294566892538
20,171,Lasuhran Spa,Fund Of Funds,80.83294566892538
20,191,Lasuhran Spa,Hectare Company,
20,193,Lasuhran Spa,Tools & Solutions,
20,172,Lasuhran Spa,local content & government procurement,80.83294566892538
20,175,Lasuhran Spa,Events Investment Fund,80.83294566892538
20,177,Lasuhran Spa,Soudah Development Co,80.83294566892538
20,43,Lasuhran Spa,Construction Office,
20,197,Lasuhran Spa,Alibaba Cloud,278.9484726350606
20,107,Lasuhran Spa,Saudi Group for Research and Media,970.9556451385115
20,166,Lasuhran Spa,Alvarez and Marsal,80.83294566892538
20,167,Lasuhran Spa,Alkhair Capital,80.83294566892538
20,44,Lasuhran Spa,Event Company,
20,174,Lasuhran Spa,ROSHN,80.83294566892538
20,540,Lasuhran Spa,Saudi Industrial Development Fund,244.9788658439132
20,173,Lasuhran Spa,Roche,80.83294566892538
20,196,Lasuhran Spa,Valuable Capital financial company,
20,190,Lasuhran Spa,eWTP Arabia Capital,
20,194,Lasuhran Spa,Bim Company,
20,195,Lasuhran Spa,Advanced Communications &Electronic,
20,595,Lasuhran Spa,AL JURAID,62.40195559847839
20,601,Lasuhran Spa,BANK RIYAD,421.6862468976346
20,602,Lasuhran Spa,SNB BANK,467.6294834216469
20,593,Lasuhran Spa,Tamkeen Academy,
20,188,Lasuhran Spa,Sports Boulevard,
20,189,Lasuhran Spa,Tourism  Development Fund,
20,248,Lasuhran Spa,5.09 (A.03),188.7695277813913
20,313,Lasuhran Spa,Khalil 2.05,589.6958946560214
20,314,Lasuhran Spa,Khalil2,576.2800828156105
20,187,Lasuhran Spa,King Salman Park,
20,309,Lasuhran Spa,2.09.B4,433.17366763316056
20,310,Lasuhran Spa,2.09.b4.1,443.20130914046615
20,307,Lasuhran Spa,2.09.b3,466.02970147417057
20,308,Lasuhran Spa,2.09.b3.1,468.2395746385802
20,305,Lasuhran Spa,2.09.b2,447.67832883971886
20,303,Lasuhran Spa,2.09.b1,448.5251837677209
20,304,Lasuhran Spa,2.09.B1.1,452.8964644137403
20,539,Lasuhran Spa,Tagpod,309.29967486258295
20,541,Lasuhran Spa,1.10 Khalil,128.51216478216958
20,306,Lasuhran Spa,2.09.b2.1,465.02450658896004
20,12,Lasuhran Spa,SIWAR FOODS,71.20774897255744
20,141,Lasuhran Spa,gharam restaurant,281.93236935499965
20,223,Lasuhran Spa,CRÃˆME London,
20,73,Lasuhran Spa,Monopoly,
20,77,Lasuhran Spa,LE PERROQUET,229.76588256405427
20,93,Lasuhran Spa,Sushi Samba,
20,581,Lasuhran Spa,KUURU,328.49720524508774
20,71,Lasuhran Spa,Black Tap,
20,207,Lasuhran Spa,urth caffe,
20,582,Lasuhran Spa,Good Food,242.651816417679
20,136,Lasuhran Spa,veloce,258.8662205861343
20,33,Lasuhran Spa,Siwar Foods,308.0261039908374
20,63,Lasuhran Spa,siwar foods,91.53397287644454
20,85,Lasuhran Spa,Chalmont,
20,88,Lasuhran Spa,EL Camino Taco Bar Restaurant,
20,89,Lasuhran Spa,La Rustica Restaurant,
20,90,Lasuhran Spa,Starbucks,136.15887723333665
20,91,Lasuhran Spa,A.O.K Kitchen,
20,135,Lasuhran Spa,SPOUT CAFFE,351.90262702851476
20,143,Lasuhran Spa,CRÃˆME London,206.74643168935853
20,84,Lasuhran Spa,Pistrina,
20,128,Lasuhran Spa,Mr Chow,369.71074166384943
20,82,Lasuhran Spa,Tale CafÃ©,
20,83,Lasuhran Spa,Il Baretto,
20,163,Lasuhran Spa,Dnkin,439.7415384638085
20,237,Lasuhran Spa,Triasta cafe,203.98100441415824
20,273,Lasuhran Spa,Il Baretto,91.09519042649855
20,489,Lasuhran Spa,Draft CafÃ©,587.4560281911974
20,490,Lasuhran Spa,Joe & The Juice,
20,491,Lasuhran Spa,Pistrina Bakery,587.4560281911974
20,538,Lasuhran Spa,Zuma,344.6899021431284
20,537,Lasuhran Spa,lagate,37.17853052849969
20,324,Lasuhran Spa,Jones the grocer,
20,275,Lasuhran Spa,Maui,13.873775227379523
20,6,Lasuhran Spa,Coffee SP OUT,155.32210190102836
20,76,Lasuhran Spa,Trieste,
20,105,Lasuhran Spa,Jones the Grocer,
20,586,Lasuhran Spa,12 Cups,
20,38,Lasuhran Spa,Health Club,240.41333719568638
20,533,Lasuhran Spa,Four Spa,
20,326,Lasuhran Spa,kHALIL,76.32152853756571
20,318,Lasuhran Spa,White pharmacy,35.10251734804212
20,8,Lasuhran Spa,Priory Healthcare,
20,554,Lasuhran Spa,KAFD Grand Mosque,42.21462202129524
20,35,Lasuhran Spa,Prayer Hall,248.0344542007496
20,45,Lasuhran Spa,Reception SIDF&Tamken&Baby care,
20,492,Lasuhran Spa,Emirates NBD,587.4560281911974
20,185,Lasuhran Spa,Conference Centre,239.01768925400356
20,162,Lasuhran Spa,Alahli bank,439.7415384638085
20,125,Lasuhran Spa,National Development Fund,601.5760564750549
20,524,Lasuhran Spa,Parking pay machine-B4,404.2053413653293
20,523,Lasuhran Spa,Parking Pay Machine-B3,351.2713439960926
20,155,Lasuhran Spa,Area 1 Parking (Building 1.04,523.8475663995113
20,145,Lasuhran Spa,Alvarez & Marsal Middle East Limited,
20,204,Lasuhran Spa,PARKING,278.9484726350606
